,accessionId,hasSummaryStats,Other
1,GCST90027271,Yes,NA
2,GCST008414,No,Yes
3,GCST90011734,No,No
4,GCST90011735,No,No
5,GCST90011736,No,No
6,GCST90061435,No,No
7,GCST005362,Yes,NA
8,GCST012597,Yes,NA
9,GCST007543,No,Yes
10,GCST010291,No,No
11,GCST010289,No,No
12,GCST010220,No,No
13,GCST010219,No,No
14,GCST012093,No,Yes
15,GCST010649,No,No
16,GCST010644,No,No
17,GCST000281,No,No
18,GCST000246,No,No
19,GCST001944,No,No
20,GCST001287,No,No
21,GCST90137499,No,
22,GCST90137501,No,
23,GCST004001,No,
24,GCST012098,No,
25,GCST008919,No,
26,GCST006983,No,
27,GCST007591,No,
28,GCST007586,No,
29,GCST007582,No,
30,GCST007588,No,
31,GCST000253,No,
32,GCST90133365,No,
33,GCST90016595,Yes,NA
34,GCST90016604,Yes,NA
35,GCST90016612,Yes,NA
36,GCST90016618,Yes,NA
37,GCST90271340,No,
38,GCST90271328,No,
39,GCST90134330,No,
40,GCST012088,No,
41,GCST001877,No,
42,GCST009600,No,
